stamp,phi,theta,psi,p,q,r,p_dot,q_dot,r_dot,Tix,Tiy,Tiz,Gx,Gy,Gz,cmdTroll,cmdTpitch,cmdTyaw,rawIroll,rawIpitch,rawIyaw
1745869644.973197,-2.694738,-0.037573,-0.098189,-5.107653,0.164645,-0.079301,-7.845250,-1.105724,1.248575,-23.671727,-1.430395,3.554174,-23.574478,2.825815,-2.588901,-2.357448,0.000000,0.000000,1686,2057,2057
1745869644.978198,-2.694738,-0.037573,-0.098189,-5.107653,0.164645,-0.079301,-5.524423,-0.972555,1.390647,-16.647821,-1.142195,4.022775,-16.530005,2.768410,-3.136418,-1.653000,0.000000,0.000000,1787,2057,2057
1745869644.983196,-2.741248,-0.039192,-0.097930,-5.098265,0.117990,-0.108264,-3.151387,-1.911762,0.600889,-9.526614,-3.627211,2.121793,-9.505425,4.167335,-0.540778,-0.950543,0.000000,0.000000,1888,2057,2057
1745869644.988198,-2.787448,-0.041029,-0.097727,-5.172807,0.184424,-0.092340,-3.089775,-0.644004,0.417491,-9.336262,-0.889081,2.113095,-9.267555,1.566705,-1.675050,-0.926756,0.000000,0.000000,1891,2057,2057
1745869644.993199,-2.832765,-0.042384,-0.097157,-4.983754,0.123341,-0.103279,1.960545,-1.260331,-0.017688,5.900732,-2.568238,0.942740,5.905717,2.733274,-0.117649,0.590572,0.000000,0.000000,2140,2057,2057
1745869644.998240,-2.832765,-0.042384,-0.097157,-4.983754,0.123341,-0.103279,4.938338,-1.497590,-0.292966,14.890090,-3.038680,0.359289,14.865438,3.004124,0.581815,1.486544,0.000000,0.000000,2267,2057,2057
1745869645.003236,-2.832765,-0.042384,-0.097157,-4.983754,0.123341,-0.103279,6.189351,-1.461000,-0.428799,18.665978,-2.986083,0.081372,18.630775,2.869545,0.830821,1.863077,0.000000,0.000000,2321,2057,2057
1745869645.008227,-2.878288,-0.044224,-0.096798,-5.010273,0.152628,-0.091097,5.575352,-0.543186,-0.164347,16.824142,-1.137176,0.944369,16.851396,1.343777,-0.616448,1.685140,0.000000,0.000000,2295,2057,2057
1745869645.013199,-2.921393,-0.045572,-0.096204,-4.792670,0.175361,-0.096817,9.811482,0.655414,-0.116984,29.625877,0.988010,1.490424,29.702047,-0.638608,-1.671977,2.970205,0.000000,0.000000,2477,2057,2057
1745869645.018200,-2.921393,-0.045572,-0.096204,-4.792670,0.175361,-0.096817,11.317306,1.339880,-0.072527,34.181385,2.240572,1.746254,34.281417,-1.805046,-2.195764,3.428142,0.000000,0.000000,2542,2057,2057
1745869645.023199,-2.921393,-0.045572,-0.096204,-4.792670,0.175361,-0.096817,10.882628,1.608395,-0.035539,32.869644,2.732167,1.844912,32.978963,-2.263221,-2.399628,3.297896,0.000000,0.000000,2524,2057,2057
1745869645.028199,-2.964986,-0.046996,-0.095567,-4.824169,0.105861,-0.114489,8.503274,-0.121289,-0.440701,25.650309,-0.895245,0.193114,25.651853,0.915248,-0.032861,2.565185,0.000000,0.000000,2420,2057,2057
1745869645.033201,-3.057503,-0.049745,-0.093774,-4.738010,0.133063,-0.113769,8.067251,-0.534387,-0.625467,24.308125,-1.746197,-0.285442,24.286663,1.716052,0.431631,2.428666,0.000000,0.000000,2401,2057,2057
1745869645.038214,-3.057503,-0.049745,-0.093774,-4.738010,0.133063,-0.113769,6.799683,-0.730510,-0.665702,20.474442,-2.099190,-0.466167,20.442537,2.052619,0.641625,2.044254,0.000000,0.000000,2346,2057,2057
1745869645.043203,-3.057503,-0.049745,-0.093774,-4.738010,0.133063,-0.113769,5.169303,-0.764323,-0.609425,15.549498,-2.158568,-0.410940,15.520085,2.116426,0.591518,1.552008,0.000000,0.000000,2276,2057,2057
1745869645.048202,-3.098914,-0.050825,-0.092955,-4.594477,0.105869,-0.090957,7.019110,-1.358424,0.059482,21.190466,-3.082558,1.172233,21.243351,3.129765,-1.040990,2.124335,0.000000,0.000000,2357,2057,2057
1745869645.053203,-3.140793,-0.052097,-0.092024,-4.623941,0.128458,-0.105316,6.607987,-1.014453,0.123673,19.938051,-2.655660,1.428649,20.012436,2.656802,-1.428462,2.001244,0.000000,0.000000,2340,2057,2057
1745869645.058213,-3.140793,-0.052097,-0.092024,-4.623941,0.128458,-0.105316,5.536207,-0.671994,0.149153,16.700207,-2.045358,1.433897,16.774892,2.046504,-1.434207,1.677489,0.000000,0.000000,2294,2057,2057
